,x
TRINITY_DN26007_c0_g1_i1|m.13757,3
TRINITY_DN26012_c0_g3_i1|m.13775,23
TRINITY_DN26012_c0_g4_i1|m.13777,2
TRINITY_DN26015_c0_g1_i2|m.13770,19
TRINITY_DN26020_c0_g1_i3|m.13787,3
TRINITY_DN26043_c0_g1_i1|m.13755,11
TRINITY_DN26062_c0_g1_i1|m.13845,21
TRINITY_DN26065_c0_g1_i1|m.13849,3
TRINITY_DN26076_c0_g1_i1|m.13859,5
TRINITY_DN26094_c0_g1_i1|m.13868,3
TRINITY_DN26121_c0_g1_i2|m.13936,10
TRINITY_DN26174_c0_g3_i2|m.14060,3
TRINITY_DN26179_c0_g1_i1|m.14071,10
TRINITY_DN26179_c0_g2_i1|m.14073,3
TRINITY_DN26205_c0_g1_i2|m.14128,3
TRINITY_DN26219_c0_g1_i2|m.14158,11
TRINITY_DN26233_c0_g1_i1|m.14139,11
TRINITY_DN26241_c0_g1_i1|m.14156,5
TRINITY_DN26242_c0_g1_i2|m.14115,10
TRINITY_DN26247_c0_g1_i2|m.14113,3
TRINITY_DN26250_c0_g1_i1|m.14183,3
TRINITY_DN26253_c0_g1_i1|m.14196,4
TRINITY_DN26257_c0_g3_i1|m.14214,1
TRINITY_DN26259_c0_g1_i1|m.14201,2
TRINITY_DN26264_c0_g1_i1|m.14191,2
TRINITY_DN26287_c0_g1_i1|m.14272,3
TRINITY_DN26300_c0_g1_i1|m.14309,10
TRINITY_DN26302_c0_g1_i1|m.14315,3
TRINITY_DN26305_c1_g1_i1|m.14314,11
TRINITY_DN26306_c0_g1_i1|m.14329,2
TRINITY_DN26306_c0_g2_i1|m.14331,3
TRINITY_DN26314_c0_g1_i1|m.14334,3
TRINITY_DN26314_c0_g1_i2|m.14336,3
TRINITY_DN26322_c1_g1_i1|m.14360,10
TRINITY_DN26322_c1_g2_i1|m.14362,2
TRINITY_DN26374_c0_g1_i1|m.14459,4
TRINITY_DN26427_c0_g1_i1|m.14550,18
TRINITY_DN26430_c0_g1_i1|m.14541,3
TRINITY_DN26465_c0_g1_i1|m.14592,3
TRINITY_DN26492_c0_g1_i1|m.14614,2
